product_name,Original,discount,image,timestamp
COD,RM16.51,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Sea Shipping,RM9.39,,https://shopee.com.my/image_not_available.jpg,6/07/2025
COD,RM3.90,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Sea Shipping,RM11.40,,https://shopee.com.my/image_not_available.jpg,6/07/2025
TomYamKaw 88g x 5…,RM8.30,7%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Embrace Green Razor 1…,RM42.50,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Rolled Oats 800g,RM9.55,11%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Skinguard Blade Refills 4s,RM45.20,30%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Maximum Cavity…,RM20.47,12%,https://shopee.com.my/image_not_available.jpg,6/07/2025
80s,RM10.25,8%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Instant 4in1 Double Oat…,RM9.01,20%,https://shopee.com.my/image_not_available.jpg,6/07/2025
𝗦𝗼𝘂𝗿 𝗖𝗿𝗲𝗮𝗺 & 𝗢𝗻𝗶𝗼𝗻…,RM3.20,9%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Naturals Anti Dandruff…,RM9.55,18%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Freshener Refreshing…,RM5.45,30%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Libresse SecureFit…,RM15.00,27%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Laundry Detergent Silky…,RM20.29,42%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Cologne Happy Berries…,RM8.07,23%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Kopitiam Smooth Roast…,RM16.69,20%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Parfum Mystique…,RM22.83,33%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Price Range,RM MIN,,https://shopee.com.my/image_not_available.jpg,6/07/2025
RM MIN,RM MAX,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Arabica & Robusta 2 In 1…,RM13.00,27%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Syiok Cili Ala Kampung…,RM3.55,23%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Cook Mac & Cheese 70g,RM3.90,15%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Declogger 500ml,RM13.27,21%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Moisture Fresh 𝗙𝗹𝗼𝗿𝗮𝗹…,RM10.09,37%,https://shopee.com.my/image_not_available.jpg,6/07/2025
,RM9.25,,https://shopee.com.my/image_not_available.jpg,6/07/2025
COD,RM6.25,,https://shopee.com.my/image_not_available.jpg,6/07/2025
COD,RM7.99,,https://shopee.com.my/image_not_available.jpg,6/07/2025
COD,RM7.95,,https://shopee.com.my/image_not_available.jpg,6/07/2025
COD,RM14.65,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Sensitive Pro Relief…,RM18.99,28%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Strength Fabric Refresher…,RM18.40,23%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Dishwashing Paste…,RM4.16,18%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Honey Lemon 250ml x 6s,RM8.05,6%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Tomato Sauce 415g,RM6.35,20%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Price Range,RM MIN,,https://shopee.com.my/image_not_available.jpg,6/07/2025
RM MIN,RM MAX,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Softener Luxurious Violet…,RM6.84,7%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Tissue 2ply 200s x 4,RM17.09,11%,https://shopee.com.my/image_not_available.jpg,6/07/2025
NoArtificialColours Pasta…,RM10.35,19%,https://shopee.com.my/image_not_available.jpg,6/07/2025
«,RM67.99,10%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Hours Relief Cold…,RM8.16,24%,https://shopee.com.my/image_not_available.jpg,6/07/2025
,RM19.90,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Sea Shipping,RM8.80,,https://shopee.com.my/image_not_available.jpg,6/07/2025
COD,RM9.90,,https://shopee.com.my/image_not_available.jpg,6/07/2025
COD,RM26.69,,https://shopee.com.my/image_not_available.jpg,6/07/2025
COD,RM38.90,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Tea 𝟯𝗶𝗻𝟭 White Milk Tea…,RM17.39,18%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Fun Pack Cereal (130g x…,RM8.85,11%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Chicken Quattro Cheese…,RM21.90,18%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Chocolate Cappuccino…,RM6.50,27%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Extra Pedas 395g,RM5.65,18%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Price Range,RM MIN,,https://shopee.com.my/image_not_available.jpg,6/07/2025
RM MIN,RM MAX,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Drink Mango 125ml x 20s,RM14.59,23%,https://shopee.com.my/image_not_available.jpg,6/07/2025
ROAST Indulgence Salted…,RM14.50,3%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Cooling Gel Sheet For…,RM14.16,5%,https://shopee.com.my/image_not_available.jpg,6/07/2025
theraphy rosy balm 10g,RM14.00,22%,https://shopee.com.my/image_not_available.jpg,6/07/2025
